federal,words
0,2980
0,123
0,1585
0,441
0,142
0,191
0,123
0,109
0,146
0,120
0,117
0,136
0,581
0,99
0,111
0,128
0,97
0,104
0,97
0,99
0,97
0,101
0,83
0,97
0,3224
0,1117
0,118
0,112
0,118
0,129
0,98
0,135
0,119
0,118
0,349
0,148
0,97
0,109
0,145
0,314
0,98
0,1814
0,135
0,161
0,96
0,162
0,97
0,150
0,117
0,98
0,1698
0,119
0,137
0,98
0,165
0,115
0,120
0,123
0,166
0,115
0,169
0,269
0,160
0,158
0,151
0,159
0,155
0,16333
0,124
0,100
0,133
0,2237
0,175
0,115
0,153
0,977
0,143
0,171
0,169
0,940
0,149
0,208
0,151
0,165
0,1208
0,118
0,557
0,142
0,156
0,125
0,168
0,173
0,338
0,164
0,169
0,170
0,156
0,170
0,155
0,1113
0,339
0,120
0,182
0,175
0,129
0,150
0,4278
0,1600
0,164
0,186
0,164
0,167
0,2164
0,129
0,152
0,1070
0,201
0,111
0,803
0,159
0,152
0,152
0,246
0,151
0,151
0,111
0,163
0,491
0,642
0,173
0,2800
0,594
0,321
0,130
0,329
0,123
0,139
0,148
0,129
0,170
0,171
0,155
0,369
0,7210
0,164
0,166
0,990
0,2899
0,150
0,497
0,359
0,143
0,1900
0,270
0,1544
0,166
0,226
0,4393
0,175
0,164
0,168
0,3118
0,1129
0,147
0,1077
0,2134
0,116
0,446
0,382
0,204
0,10303
0,157
0,152
0,164
0,262
0,127
0,129
0,330
0,169
0,163
0,2821
0,149
0,1616
0,188
0,1120
0,253
0,1921
0,162
0,257
0,3903
0,148
0,152
0,5470
0,187
0,165
0,132
0,145
0,3905
0,1352
0,1234
0,308
0,255
0,145
0,151
0,1450
0,152
0,227
0,138
0,192
0,2632
0,933
0,152
0,149
0,517
0,151
0,296
0,119
0,275
0,162
0,468
0,151
0,342
0,1992
0,149
0,1691
0,149
0,141
0,282
0,151
0,145
0,153
0,166
0,18841
0,164
0,835
0,153
0,165
0,1864
0,141
0,340
0,167
0,133
0,187
0,805
0,444
0,141
0,161
0,133
0,150
0,700
0,1932
0,143
0,153
0,2505
0,195
0,350
0,2346
0,149
0,148
0,133
0,170
0,133
0,163
0,615
0,866
0,135
0,148
0,220
0,1967
0,172
0,150
0,630
0,184
0,140
0,1925
0,160
0,181
0,1614
0,556
0,153
0,150
0,295
0,1454
0,168
0,1071
0,216
0,291
0,146
0,188
0,313
0,563
0,277
0,109
0,143
0,1152
0,175
0,6829
0,1269
0,144
0,155
0,1159
0,286
0,182
0,213
0,3178
0,159
0,151
0,867
0,360
0,222
0,3304
0,996
0,255
0,155
0,325
0,150
0,866
0,144
0,193
0,8271
0,674
0,154
0,126
0,141
0,146
0,289
0,1718
0,144
0,1383
0,703
0,530
0,143
0,310
0,588
0,155
0,141
0,2927
0,234
0,144
0,150
0,144
0,156
0,217
0,1402
0,4605
0,179
0,149
0,169
0,285
0,395
0,269
0,229
0,151
0,2877
0,859
0,421
0,539
0,1173
0,307
0,157
0,2220
0,261
0,208
0,293
0,883
0,260
0,2868
0,1630
0,650
0,472
0,218
0,153
0,1395
0,135
0,1384
0,275
0,294
0,180
0,293
0,1535
0,229
0,2133
0,282
0,3536
0,292
0,3119
0,292
0,285
0,220
0,3327
0,135
0,591
0,245
0,8182
0,146
0,284
0,297
0,275
0,301
0,284
0,1774
0,291
0,1979
0,844
0,1026
0,304
0,136
0,756
0,882
0,294
0,292
0,488
0,156
0,294
0,289
0,2397
0,623
0,542
0,196
0,195
0,1185
0,192
0,175
0,1746
0,243
0,983
0,138
0,3477
0,272
0,290
0,153
0,324
0,735
0,291
0,321
0,647
0,304
0,244
0,187
0,432
0,281
0,285
0,304
0,435
0,10412
0,299
0,301
0,234
