"","number_tokens","ave_syllabels","perc_differentwords2","mean_sent_length","docdate"
"1",2233,1.88042947779405,0.213762811127379,50.6744186,1989-12-13
"2",2478,1.88099315068493,0.216181506849315,57.4047619,1990-10-17
"3",2681,1.86925229908037,0.179128348660536,53.06122449,1990-12-12
"4",4048,1.96465816917729,0.197566628041715,89,1992-05-19
"6",4048,1.96465816917729,0.197566628041715,89,2000-01-27
"8",3286,1.83454907161804,0.152519893899204,60.13207547,1990-11-14
"9",1485,1.86766809728183,0.252503576537911,56.11538462,1990-11-13
"10",2319,1.87565011820331,0.174940898345154,55.02439024,1990-04-05
"11",3734,1.81613454960091,0.156214367160775,47.19230769,1990-06-06
"12",2034,1.89171974522293,0.238322717622081,42.08510638,1991-05-30
"13",2413,1.83384346305203,0.19895059029296,44.88679245,1990-05-02
"14",2787,1.93348450491308,0.198412698412698,48.78571429,1991-04-16
"15",2679,1.80854430379747,0.189477848101266,53.6122449,1990-03-27
"16",1892,1.80595369349504,0.201212789415656,44.71428571,1991-03-07
"17",1895,1.83362118595279,0.216465169833045,47.43589744,1990-07-04
"18",1466,1.87750556792873,0.260579064587973,57.48,1990-06-27
"19",1652,1.87069525666017,0.217673814165042,57.17857143,1991-02-26
"20",2535,1.93779493779494,0.213213213213213,52.44680851,1990-07-12
"21",7263,1.85826421800948,0.128850710900474,49.64084507,1991-07-09
"22",1605,1.86706746826987,0.25250501002004,39.4,1991-02-05
"23",2972,1.81030195381883,0.180817051509769,42.37681159,1991-06-26
"24",2542,1.79742631797426,0.195931921959319,39.82539683,1991-06-26
"25",2476,1.91010273972603,0.198630136986301,46.63461538,1991-02-26
"26",4113,1.89550679205852,0.165099268547544,45.39325843,1990-07-12
"27",2260,1.91678289167829,0.213854021385402,45.57142857,1991-01-17
"28",2582,1.82240663900415,0.168464730290456,51.67346939,1990-05-17
"29",1652,1.90950226244344,0.217840982546865,64.24,1991-02-26
"30",4229,1.91023701462431,0.142713061018659,70.27118644,1990-07-12
"31",1693,1.74433656957929,0.218770226537217,57.06896552,1990-05-10
"32",1610,1.84178905206943,0.242323097463284,50.70967742,1990-05-23
"33",2382,1.84115044247788,0.177433628318584,49.10416667,1990-06-06
"34",2446,1.89435414884517,0.19546621043627,41.96551724,1991-11-28
"35",1102,1.85034687809713,0.285431119920714,37.4137931,1990-12-12
"36",3978,1.89928649835346,0.150384193194292,56.97058824,1990-06-28
"37",2757,1.92161339421613,0.189117199391172,42.390625,1991-02-26
"38",1717,1.87701863354037,0.235403726708075,44.84210526,1990-11-29
"39",2602,1.84692647649658,0.187625552430695,62.58536585,1991-02-07
"40",2198,1.90324141267537,0.238993710691824,50.27906977,1990-06-26
"41",2272,1.8168549905838,0.185028248587571,45.67346939,1990-12-04
