justice,median_year,positive,negative,totalwords,% Pos,% Neg,FriendScr
chase_samuel,1803.5,3058,2762,140301,0.021795996,0.019686246,0.00210975
baldwin,1837,4941,4462,277372,0.017813622,0.016086699,0.001726923
thompson,1833,5829,5572,309461,0.018835976,0.0180055,0.000830476
davis,1869.5,5906,5716,252829,0.023359662,0.022608166,0.000751496
wayne,1851,9289,8891,580862,0.01599175,0.015306562,0.000685189
waite,1881,16962,16403,979422,0.017318378,0.016747633,0.000570745
matthews,1885,13876,13531,759569,0.018268255,0.01781405,0.000454205
blatchford,1887.5,21115,20785,1390209,0.015188364,0.014950989,0.000237374
brewer,1900,26483,26249,1366477,0.019380495,0.019209251,0.000171243
vandevanter,1924,14930,14805,814728,0.018325134,0.018171709,0.000153425
nelson,1858.5,9077,9073,505771,0.017946857,0.017938949,7.90872E-06
mclean,1845,11579,11737,653879,0.017708169,0.017949804,-0.000241635
miller,1876,24566,25424,1297839,0.018928388,0.019589487,-0.000661099
bradley,1881,20682,21499,1187770,0.017412462,0.018100306,-0.000687844
woodbury,1848,4523,4772,226634,0.019957288,0.021055976,-0.001098688
jackson_h,1894,3150,3359,187825,0.01677093,0.017883668,-0.001112738
hughes,1925.5,22485,23778,1149879,0.019554231,0.020678697,-0.001124466
curtis,1854,3338,3570,189999,0.017568514,0.018789573,-0.001221059
lamar_l,1890.5,5237,5647,317152,0.016512587,0.017805343,-0.001292756
story,1878.5,16247,17311,810533,0.020044835,0.021357551,-0.001312716
harlan_i,1894,50219,53893,2788778,0.018007529,0.019324952,-0.001317423
field,1879.5,26529,28424,1432145,0.018523962,0.019847152,-0.00132319
johnson_w,1819,7481,8007,375521,0.019921656,0.021322376,-0.001400721
clifford,1869.5,27283,29349,1403170,0.019443831,0.020916211,-0.00147238
marshall_j,1818,18202,19726,1033616,0.017610022,0.019084457,-0.001474435
burton,1951.5,8673,9296,421013,0.020600314,0.022080078,-0.001479764
taney,1850,8601,9334,492328,0.017470061,0.018958905,-0.001488845
campbell,1857,3713,4032,210486,0.017640128,0.019155668,-0.00151554
gray,1892,20215,22147,1170741,0.017266842,0.018917079,-0.001650237
day,1912.5,19421,21301,1128147,0.017214955,0.018881405,-0.001666449
stone,1935.5,25685,27973,1323363,0.019408885,0.021137813,-0.001728928
catron,1851,6227,6994,415548,0.014985032,0.016830787,-0.001845755
taft,1925.5,12660,13968,693443,0.018256728,0.020142968,-0.00188624
fuller,1899,28126,31101,1573002,0.01788046,0.019771749,-0.001891288
sutherland,1930,13847,15154,681728,0.02031162,0.022228807,-0.001917187
strong,1875,9590,10688,546702,0.017541549,0.019549956,-0.002008407
brown,1898.5,22384,24984,1292883,0.017313245,0.019324254,-0.00201101
mcreynolds,1927.5,15059,16543,711664,0.021160267,0.02324552,-0.002085254
washington,1813.5,2327,2620,138500,0.016801444,0.018916968,-0.002115523
shiras,1897.5,14155,15860,777446,0.018207052,0.020400131,-0.002193078
clarke,1919,5535,6204,303314,0.018248416,0.020454051,-0.002205635
daniel,1851,6682,7535,369886,0.018065025,0.020371141,-0.002306116
hunt,1877.5,4264,4880,253626,0.016812156,0.01924093,-0.002428773
